Iteration,Phase,Loss,Reward,Entropy,WinRate,DealInRate,MeanShantenRed
306,1,0.0884,0.0067,1.2710,0.5398,0.1770,6.8584
307,1,0.1052,0.0057,1.3102,0.5743,0.2079,6.1782
308,1,0.0975,0.0064,1.2923,0.5833,0.2130,6.5093
309,1,0.1073,0.0076,1.2869,0.5462,0.1513,6.2521
310,1,0.1242,0.0041,1.3097,0.5408,0.1735,6.4490
311,1,0.1147,0.0087,1.2562,0.6557,0.1639,6.4590
312,1,0.1233,0.0074,1.2741,0.5652,0.1913,6.7391
313,1,0.1207,0.0072,1.2868,0.6484,0.1538,6.4725
314,1,0.1209,0.0083,1.2625,0.5778,0.1333,6.0444
315,1,0.1067,0.0082,1.2564,0.6914,0.2099,6.5556
316,1,0.1159,0.0059,1.2888,0.5625,0.1406,6.4453
317,1,0.1082,0.0082,1.2753,0.6697,0.2110,6.1835
318,1,0.1028,0.0072,1.2989,0.6667,0.2381,6.6190
319,1,0.1238,0.0079,1.2917,0.6772,0.2047,6.1417
320,1,0.1330,0.0066,1.2800,0.5825,0.1456,6.2039
321,1,0.0990,0.0064,1.2767,0.5800,0.2400,6.3700
322,1,0.1156,0.0071,1.2590,0.5868,0.1074,6.5702
323,1,0.1057,0.0078,1.3003,0.7227,0.1261,6.2941
324,1,0.0931,0.0052,1.3141,0.7073,0.1585,6.4024
325,1,0.1048,0.0053,1.3132,0.5588,0.1618,6.7132
326,1,0.1198,0.0076,1.2813,0.7053,0.2000,6.5053
327,1,0.1288,0.0064,1.3047,0.5556,0.1905,6.4762
328,1,0.1177,0.0051,1.2388,0.6768,0.0909,6.3838
329,1,0.0969,0.0071,1.2757,0.6387,0.1765,6.2689
330,1,0.1218,0.0052,1.2926,0.5905,0.1333,6.1429
331,1,0.1011,0.0076,1.2794,0.5825,0.1650,6.4951
332,1,0.1306,0.0054,1.3186,0.6167,0.2083,6.6500
333,1,0.0979,0.0070,1.2767,0.6727,0.0818,6.2000
334,1,0.1073,0.0066,1.2406,0.6875,0.2500,6.6964
335,1,0.1113,0.0059,1.3147,0.5392,0.1667,6.4510
336,1,0.1360,0.0076,1.2871,0.5929,0.2478,6.5044
337,1,0.1029,0.0074,1.2910,0.4862,0.1651,6.2752
338,1,0.1324,0.0063,1.2889,0.4957,0.2821,6.4017
339,1,0.0974,0.0063,1.2779,0.6636,0.2056,6.3925
340,1,0.1162,0.0081,1.3146,0.6216,0.1982,6.0270
341,1,0.0963,0.0070,1.2586,0.6903,0.1770,6.6195
342,1,0.1147,0.0079,1.3078,0.6727,0.1727,6.3727
343,1,0.1070,0.0061,1.2278,0.5690,0.2586,6.5259
344,1,0.1105,0.0075,1.2430,0.7228,0.1782,6.6238
345,1,0.0927,0.0068,1.2857,0.5926,0.1481,6.1759
346,1,0.1054,0.0067,1.2793,0.6614,0.1732,6.3780
347,1,0.0952,0.0065,1.2914,0.5946,0.1982,6.4595
348,1,0.1328,0.0073,1.2569,0.6344,0.1828,6.6129
349,1,0.1266,0.0058,1.3039,0.6357,0.2248,6.3798
350,1,0.1093,0.0065,1.3030,0.6087,0.1087,6.2500
351,1,0.1228,0.0081,1.2779,0.6993,0.1538,6.1049
352,1,0.1117,0.0082,1.2369,0.6941,0.1765,6.4941
353,1,0.1072,0.0077,1.2638,0.6695,0.1525,6.3814
354,1,0.1293,0.0066,1.3011,0.6296,0.2407,6.4630
355,1,0.1286,0.0048,1.2877,0.6860,0.1818,6.7190
356,1,0.1333,0.0053,1.2379,0.6765,0.1176,6.7059
357,1,0.1017,0.0068,1.2540,0.6182,0.1091,6.4000
358,1,0.0918,0.0074,1.2773,0.6727,0.1818,6.5636
359,1,0.1088,0.0080,1.2777,0.6860,0.1901,6.7273
360,1,0.1063,0.0075,1.2963,0.7340,0.1809,6.2553
361,1,0.1110,0.0061,1.2671,0.7323,0.2205,6.7008
362,1,0.1063,0.0045,1.2844,0.5921,0.1974,6.5395
363,1,0.1328,0.0089,1.2479,0.5075,0.2090,6.3731
364,1,0.1046,0.0059,1.2800,0.5941,0.1188,6.5842
365,1,0.1076,0.0082,1.2727,0.7632,0.1842,6.3947
366,1,0.0941,0.0067,1.2898,0.5354,0.1818,6.2121
367,1,0.1029,0.0068,1.2601,0.7295,0.1639,6.5082
368,1,0.1195,0.0081,1.2544,0.5948,0.1466,6.5086
369,1,0.1117,0.0044,1.2728,0.6226,0.2547,6.6604
370,1,0.1120,0.0060,1.2924,0.5526,0.2193,6.3421
371,1,0.1001,0.0053,1.2997,0.6957,0.1630,6.6196
372,1,0.1060,0.0055,1.2770,0.6585,0.1626,6.3821
373,1,0.1079,0.0067,1.2921,0.5526,0.1228,6.1579
374,1,0.1348,0.0072,1.2729,0.5826,0.1739,6.4696
375,1,0.0984,0.0051,1.2872,0.6627,0.1446,6.8434
